GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000057608	-0.0776343	-0.0970429
ENSG00000058056	0.4385310	2.0863562
ENSG00000058063	0.3437324	1.9587057
ENSG00000058091	-0.2060272	-0.2575340
ENSG00000058453	-3.5301110	-2.4364280
ENSG00000058804	0.2985818	1.9116802
ENSG00000058866	-1.0846902	-1.3558628
ENSG00000059377	-2.6685979	-1.5804306
ENSG00000060558	-1.5586780	-1.1156617
ENSG00000060749	0.3466121	1.9796249
ENSG00000060762	-0.0776343	-0.0970429
ENSG00000061676	-0.0330951	1.5325609
ENSG00000061794	-0.0776343	-0.0970429
ENSG00000061918	0.6667314	2.3427417
ENSG00000062282	-2.8992804	-2.0494876
ENSG00000062650	-0.0776343	-0.0970429
ENSG00000063127	-3.2847593	-2.3674188
ENSG00000063438	-1.1699032	0.2415070
ENSG00000064042	-1.3381422	-1.6726778
ENSG00000064195	-1.5544784	-0.9447147
ENSG00000064201	-1.8375168	-0.9691713
ENSG00000064205	-7.4432271	-7.4457914
ENSG00000064270	-1.8574461	-0.9368498
ENSG00000064309	1.2160056	3.2200459
ENSG00000064419	0.0235289	1.6031332
ENSG00000064607	-0.0776343	-0.0970429
ENSG00000064652	-0.2060272	-0.2575340
ENSG00000064655	-1.6961936	-0.9572768
ENSG00000064703	-0.0776343	-0.0970429
ENSG00000064726	0.1261425	1.7149139
ENSG00000064787	-1.8896285	-0.9602301
ENSG00000064886	-3.9076424	-3.4398231
ENSG00000064961	-1.3293743	-0.0794675
ENSG00000064989	-4.7512105	-4.1097279
ENSG00000065060	-0.0776343	-0.0970429
ENSG00000065135	-0.0776343	-0.0970429
ENSG00000065150	-0.0776343	-0.0970429
ENSG00000065154	0.5685951	2.2071448
ENSG00000065320	-1.3324636	-1.6655795
ENSG00000065328	-1.0982323	0.3548297
ENSG00000065600	-0.0776343	-0.0970429
ENSG00000065613	0.3481040	1.9725779
ENSG00000065615	1.1292666	3.1135076
ENSG00000065618	-7.8690325	-8.0318601
ENSG00000065665	-0.0776343	-0.0970429
ENSG00000065717	-0.2060272	-0.2575340
ENSG00000065809	1.4321722	3.4873626
ENSG00000065882	-0.0776343	-0.0970429
ENSG00000065923	-1.3860797	0.0000000
ENSG00000065978	-0.0776343	-0.0970429
ENSG00000066032	-3.3524257	-2.3713350
ENSG00000066044	-0.0776343	-0.0970429
ENSG00000066056	-1.6504696	-0.8185556
ENSG00000066084	-0.0776343	-0.0970429
ENSG00000066135	-0.0776343	-0.0970429
ENSG00000066230	-5.2805458	-4.6589159
ENSG00000066248	-3.2397583	-2.1292876
ENSG00000066279	4.2665769	6.9132425
ENSG00000066294	-1.3860797	0.0000000
ENSG00000066322	-0.0776343	-0.0970429
ENSG00000066336	-21.2229991	-24.6429233
ENSG00000066382	-0.2060272	-0.2575340
ENSG00000066468	-1.4594831	-0.9204690
ENSG00000066557	1.2352779	3.2442497
ENSG00000066583	-0.0776343	-0.0970429
ENSG00000066697	-1.3585735	-0.0994730
ENSG00000066739	1.3754502	3.4173236
ENSG00000066923	-2.9311201	-1.9438795
ENSG00000066926	-0.0776343	-0.0970429
ENSG00000067048	-1.7576284	-2.1970355
ENSG00000067057	-1.3860797	0.0000000
ENSG00000067064	0.4469500	2.0819936
ENSG00000067113	-1.8554833	-0.4134184
ENSG00000067560	-0.0776343	-0.0970429
ENSG00000067606	-3.3811207	-2.3419223
