Gene ID	CI DESeq	CI NOISeq	CuffDiff	Limma	GeneSpring
ENSG00000009765	-6.455686663	NA	NA	NA	NA
ENSG00000009844	NA	NA	NA	2.029650285	4.0830584
ENSG00000009950	-7.904090939	NA	NA	-7.539129418	NA
ENSG00000009954	NA	NA	NA	NA	2.6259933
ENSG00000010030	-2.506148418	NA	NA	NA	NA
ENSG00000010165	NA	NA	NA	NA	2.3712986
ENSG00000010270	NA	NA	NA	NA	3.505204
ENSG00000010282	-13.1230007	-12.71245584	-9.27622	NA	NA
ENSG00000010292	NA	NA	NA	NA	3.8331797
ENSG00000010310	NA	NA	-2.84733	NA	NA
ENSG00000010319	-6.135035295	NA	NA	-4.996307509	NA
ENSG00000010327	-2.955417805	NA	-9.58782	-8.189957354	-20.430405
ENSG00000010379	-2.688501535	NA	NA	NA	NA
ENSG00000010438	-2.021849725	NA	NA	NA	NA
ENSG00000010671	-4.6554547	NA	-3.42768	-3.357858108	NA
ENSG00000010932	NA	NA	NA	NA	NA
ENSG00000011007	NA	NA	NA	NA	3.176621
ENSG00000011083	-3.614606119	NA	NA	NA	NA
ENSG00000011105	NA	NA	-3.22089	-2.845967893	-7.1898794
ENSG00000011114	NA	NA	NA	NA	2.2397268
ENSG00000011201	-2.403823999	NA	NA	NA	NA
ENSG00000011275	NA	NA	-3.52176	-3.235115262	-9.416005
ENSG00000011347	-3.887748664	NA	NA	NA	NA
ENSG00000011405	NA	NA	NA	2.096336741	NA
ENSG00000011426	NA	NA	NA	2.095945922	NA
ENSG00000011465	-9.410772406	-9.412028055	-7.62315	-7.550742714	-38.695686
ENSG00000011485	NA	NA	NA	NA	3.108503
ENSG00000011590	-4.636931576	NA	NA	NA	NA
ENSG00000011600	NA	-13.22969026	NA	NA	NA
ENSG00000012124	-2.247068563	NA	NA	NA	NA
ENSG00000012171	-4.094009653	-4.072846381	-2.3771	NA	NA
ENSG00000012174	NA	NA	2.01669	2.234029373	NA
ENSG00000012223	-7.338225316	NA	-7.34224	-5.885034074	NA
ENSG00000012232	NA	NA	NA	NA	3.5724888
ENSG00000012504	-4.283335086	NA	NA	NA	NA
ENSG00000012779	-7.990225233	NA	NA	NA	NA
ENSG00000012963	NA	NA	NA	2.037196489	NA
ENSG00000013293	-3.35568119	NA	NA	-8.157304168	NA
ENSG00000013375	NA	NA	NA	NA	3.202787
ENSG00000013392	NA	NA	NA	NA	2.6579418
ENSG00000013503	NA	NA	NA	NA	2.4063613
ENSG00000013561	NA	NA	NA	NA	3.6390872
ENSG00000013573	NA	NA	-2.32701	-2.046685249	-4.131556
ENSG00000013725	-4.013309616	NA	-4.90854	-4.464067322	NA
ENSG00000014123	NA	NA	NA	NA	3.2176096
ENSG00000014138	NA	NA	NA	NA	3.265848
ENSG00000014824	NA	NA	NA	NA	3.8581142
ENSG00000014919	NA	NA	NA	NA	3.007513
ENSG00000015133	-3.594564676	NA	-5.01258	-5.573270576	NA
ENSG00000015171	NA	NA	NA	NA	2.945006
ENSG00000015285	-7.265901829	NA	-7.55247	-7.086630021	NA
ENSG00000015479	NA	NA	NA	NA	2.750377
ENSG00000015520	-3.888180359	NA	NA	NA	NA
ENSG00000015568	NA	NA	-2.22966	NA	NA
ENSG00000015676	NA	NA	-2.39055	-2.084531474	-4.241373
ENSG00000017373	-3.723778485	NA	-2.83566	-2.32667275	NA
ENSG00000017427	-3.754107812	NA	-5.13734	-3.699008238	NA
ENSG00000017483	-3.119930701	NA	-2.63522	NA	NA
ENSG00000017797	NA	NA	NA	NA	2.8771472
ENSG00000018280	-3.916160236	NA	-4.6319	-4.417772036	-6.0595193
ENSG00000018607	-2.820492528	NA	NA	NA	NA
ENSG00000018610	NA	NA	-2.06313	NA	-3.8554652
ENSG00000019102	-3.854967738	NA	NA	NA	NA
ENSG00000019169	NA	NA	NA	NA	NA
ENSG00000019186	2.11163695	NA	NA	NA	NA
ENSG00000019505	-5.212536112	NA	NA	NA	NA
ENSG00000019549	NA	NA	2.73112	3.190137401	9.126979
ENSG00000019582	-11.35107894	-11.33319884	-10.1559	-10.69862864	-475.19913
ENSG00000019991	-3.168802581	NA	NA	NA	NA
ENSG00000020426	NA	NA	-2.87585	-2.621119391	NA
ENSG00000020922	NA	NA	NA	2.092317261	4.2929945
ENSG00000021300	-4.328088173	-4.339945333	-3.45092	NA	NA
ENSG00000021488	-4.447240988	NA	NA	NA	NA
ENSG00000021645	NA	NA	-2.12763	NA	NA
ENSG00000022267	2.388720809	NA	2.67414	3.459255012	10.351908
ENSG00000022556	2.063391768	NA	NA	NA	NA
ENSG00000023041	NA	NA	NA	NA	2.9155917
ENSG00000023228	NA	NA	NA	NA	3.354991
ENSG00000023516	NA	NA	2.62643	2.889710681	7.2908764
ENSG00000023697	NA	NA	-2.30365	-2.035026118	-4.098302
ENSG00000023734	NA	NA	NA	NA	2.728335
ENSG00000023909	NA	NA	NA	2.141831226	4.4638057
ENSG00000024048	NA	NA	NA	NA	2.6063106
ENSG00000024526	2.567692141	NA	3.28783	3.676345702	11.073832
ENSG00000025156	NA	NA	NA	NA	3.2389293
ENSG00000025708	-2.917472709	NA	NA	NA	NA
ENSG00000025772	NA	NA	NA	NA	3.6325884
ENSG00000026036	NA	NA	-2.52076	NA	NA
ENSG00000026297	NA	NA	NA	NA	NA
ENSG00000026751	-2.858768358	NA	-2.26368	NA	NA
ENSG00000027644	-3.253493835	NA	NA	NA	NA
ENSG00000027869	-2.660299291	NA	NA	NA	NA
ENSG00000028839	NA	NA	NA	NA	3.1446633
ENSG00000029363	NA	NA	NA	2.129802594	4.3765755
ENSG00000029364	NA	NA	NA	NA	2.9168017
ENSG00000029993	NA	NA	NA	NA	3.6547744
ENSG00000030110	NA	NA	NA	NA	3.089726
ENSG00000031003	NA	NA	NA	2.027953799	4.0101686
ENSG00000032389	NA	NA	-2.42531	-2.150539106	-4.439936
ENSG00000033122	NA	NA	NA	-2.790623203	NA
ENSG00000033170	NA	NA	-2.75727	-2.314337941	NA
ENSG00000033867	2.210032051	NA	2.84989	2.961862562	7.7486434
ENSG00000034063	NA	NA	NA	2.0326304	4.091502
ENSG00000034152	NA	NA	NA	NA	3.5734644
ENSG00000034971	NA	-12.57979308	NA	NA	NA
ENSG00000035141	NA	NA	NA	NA	2.5316863
ENSG00000035499	2.020413282	NA	2.98033	3.120500325	8.414719
ENSG00000035664	-3.108686552	NA	-4.63353	-4.235304865	-5.5564375
ENSG00000035720	-3.910125268	NA	NA	NA	NA
ENSG00000036054	NA	NA	NA	NA	2.723793
ENSG00000036530	-2.723232809	NA	NA	-3.215566339	NA
ENSG00000036672	-2.019070177	NA	NA	NA	NA
ENSG00000037241	NA	NA	NA	NA	2.8804302
ENSG00000037280	-6.747156197	NA	NA	-5.246644902	NA
ENSG00000038274	NA	NA	NA	NA	2.8912876
ENSG00000038427	-3.197815985	NA	-2.4328	NA	NA
ENSG00000038945	-6.526178488	NA	NA	-5.069080004	-6.7499065
ENSG00000039139	-5.493402573	NA	NA	NA	NA
ENSG00000039319	2.270060878	NA	2.48782	2.746875982	6.7126203
ENSG00000039987	-5.258075566	NA	NA	NA	NA
ENSG00000040199	NA	NA	NA	NA	2.1929345
ENSG00000040275	NA	NA	NA	NA	3.6357124
ENSG00000041982	-2.033771522	NA	NA	NA	NA
ENSG00000042062	-2.733050392	NA	NA	-3.022393874	NA
ENSG00000042088	NA	NA	NA	NA	3.333595
ENSG00000042304	-6.453660824	NA	NA	NA	NA
ENSG00000042493	-3.942361345	-3.904555509	-2.94109	NA	NA
ENSG00000042781	3.361174463	NA	NA	3.830418566	NA
ENSG00000042813	-3.893174689	NA	NA	NA	NA
ENSG00000042832	-6.176276741	NA	-4.7983	-5.146463661	NA
ENSG00000042980	-5.627396227	NA	NA	-4.771356772	NA
ENSG00000043039	-7.994029543	NA	NA	NA	NA
ENSG00000043093	NA	NA	NA	NA	3.5253537
ENSG00000043355	-4.057635777	NA	NA	NA	NA
ENSG00000043462	-5.854105053	-5.865858942	-5.26028	-4.63833823	-8.511016
ENSG00000043591	-3.870430192	NA	NA	NA	NA
ENSG00000044524	-5.249035931	NA	NA	-5.315683346	NA
ENSG00000044574	NA	NA	NA	NA	3.0895998
ENSG00000046774	NA	-12.96096593	NA	NA	NA
ENSG00000047056	NA	NA	NA	NA	2.751431
ENSG00000047579	NA	NA	-3.07148	-2.836694558	-7.1438136
ENSG00000047597	-3.380625909	NA	NA	NA	NA
ENSG00000047621	NA	NA	NA	NA	3.0742447
ENSG00000047644	NA	NA	NA	NA	3.0829146
ENSG00000047662	NA	NA	NA	NA	-3.0573046
ENSG00000047936	-5.795251738	NA	NA	NA	NA
ENSG00000048028	NA	NA	NA	NA	2.9663866
ENSG00000048471	NA	NA	-2.3925	-2.096682805	-4.277247
ENSG00000048540	-2.857417668	NA	NA	NA	NA
ENSG00000048545	2.429795967	NA	NA	NA	NA
ENSG00000048828	NA	NA	NA	NA	3.0691848
ENSG00000049089	-4.061923995	NA	-3.36827	-2.938763562	NA
ENSG00000049245	NA	NA	NA	NA	3.4437973
ENSG00000049249	-5.287425945	NA	NA	-5.31386551	NA
ENSG00000049283	-9.637365395	NA	NA	NA	NA
ENSG00000049323	NA	NA	-3.20369	NA	NA
ENSG00000049540	-6.811731185	NA	NA	NA	NA
ENSG00000049768	-2.88363396	NA	NA	-5.51730344	NA
ENSG00000049769	NA	NA	-2.01766	NA	NA
ENSG00000050130	NA	NA	NA	NA	3.1552715
ENSG00000050393	NA	NA	NA	NA	3.6308713
ENSG00000050555	-5.762946151	NA	-6.43234	-5.399287861	NA
ENSG00000050628	-5.57561828	NA	-7.79435	-7.336236262	NA
ENSG00000050730	-2.551256376	NA	NA	-3.560599234	NA
ENSG00000050748	NA	NA	NA	NA	3.9370542
ENSG00000050767	-4.265064479	NA	NA	-7.188613642	NA
ENSG00000051620	NA	NA	NA	NA	3.9252665
ENSG00000052344	-10.58066144	NA	NA	-7.228106011	NA
ENSG00000052795	NA	NA	2.56861	2.817822616	7.0509725
ENSG00000052802	NA	NA	2.0525	2.351257776	5.1026883
ENSG00000052850	-2.678156796	NA	NA	NA	NA
ENSG00000053108	-4.000423092	NA	-4.94216	-3.533627877	NA
ENSG00000053524	NA	NA	-2.71301	-2.295804804	NA
ENSG00000053747	-5.338509021	NA	-6.26623	-5.062379855	NA
ENSG00000053770	NA	NA	NA	2.000760081	4.002108
ENSG00000053918	-3.172234737	NA	-8.76901	-8.583338677	-6.8845863
ENSG00000054179	-2.349891248	NA	NA	NA	NA
ENSG00000054219	NA	NA	NA	NA	NA
ENSG00000054598	-4.341589148	NA	-3.16935	-2.711861043	NA
ENSG00000054611	NA	NA	-3.09653	-2.822584714	-7.0742865
ENSG00000055070	NA	NA	NA	NA	2.7328935
ENSG00000055118	-7.688177318	NA	NA	NA	NA
ENSG00000055917	NA	NA	NA	2.063009554	4.1785707
ENSG00000055955	-3.602084013	NA	-4.52733	NA	NA
ENSG00000056558	NA	NA	2.36682	NA	NA
ENSG00000056586	2.074431815	NA	2.23621	2.532318843	5.7850075
ENSG00000057019	2.890737847	2.875359516	2.53401	2.44682177	5.4521375
ENSG00000057149	NA	-13.48494418	NA	NA	NA
ENSG00000057252	NA	NA	2.82428	3.268090225	9.6337
ENSG00000057294	-5.122297301	NA	NA	-4.987676278	NA
ENSG00000057593	-2.348636182	NA	NA	NA	NA
ENSG00000057608	NA	NA	NA	NA	3.1163068
ENSG00000057657	-2.992545619	NA	NA	NA	NA
ENSG00000058056	NA	NA	2.37099	2.696373676	6.336929
ENSG00000058063	NA	NA	2.50637	2.685693141	6.433898
ENSG00000058085	-2.435529713	NA	NA	NA	NA
ENSG00000058091	NA	NA	-2.99897	NA	NA
ENSG00000058335	-2.036647111	NA	NA	NA	NA
ENSG00000058453	NA	NA	-3.07087	-2.826818549	-7.0950775
ENSG00000058804	NA	NA	2.39856	2.603112154	6.0678554
ENSG00000058866	NA	NA	-3.50304	NA	NA
ENSG00000059377	-2.901743984	NA	-4.43779	-3.526677537	-11.524862
ENSG00000060140	-2.703498775	NA	NA	NA	NA
ENSG00000060558	-10.22238064	NA	NA	-8.061263444	NA
ENSG00000060749	NA	NA	2.2882	2.589654501	5.92817
ENSG00000060762	NA	NA	NA	NA	2.9179103
ENSG00000061455	-2.85634413	NA	NA	NA	NA
ENSG00000061676	NA	NA	2.01175	2.177191866	4.522723
ENSG00000061794	NA	NA	NA	NA	2.755142
ENSG00000061918	NA	NA	2.79411	3.069606846	6.675396
ENSG00000062282	-4.355205393	NA	-3.47413	-2.98544389	NA
ENSG00000062524	-3.897671632	NA	NA	NA	NA
ENSG00000062650	NA	NA	NA	NA	3.058747
ENSG00000063015	-3.29633507	NA	NA	NA	NA
ENSG00000063127	-3.621436968	NA	-5.76571	-5.177537741	NA
ENSG00000063438	NA	NA	2.3812	3.445680569	NA
ENSG00000064042	-3.85949046	NA	-5.0639	NA	NA
ENSG00000064195	-7.010671409	NA	NA	-5.117454982	NA
ENSG00000064201	-5.029334401	NA	NA	-5.538612559	NA
ENSG00000064205	-7.79239704	-7.787300628	-8.82996	-7.537693745	NA
ENSG00000064270	-3.622155817	NA	NA	-4.982015749	NA
ENSG00000064309	NA	NA	NA	2.146959428	4.4268985
ENSG00000064419	NA	NA	2.00092	2.21498159	4.6427565
ENSG00000064607	NA	NA	NA	NA	2.2818122
ENSG00000064652	NA	NA	-2.69673	NA	NA
ENSG00000064655	-6.860617912	NA	NA	-5.333781787	NA
ENSG00000064692	-8.045870022	NA	NA	NA	NA
ENSG00000064703	NA	NA	NA	NA	3.7302222
ENSG00000064726	NA	NA	2.198	2.382371823	5.2139316
ENSG00000064787	-3.581093801	NA	NA	-5.384639084	NA
ENSG00000064886	-6.52166624	NA	-8.36375	-6.703241064	NA
ENSG00000064961	NA	NA	2.41192	2.693109218	NA
ENSG00000064989	-3.81132691	NA	-6.77344	-6.313353177	-8.263767
ENSG00000065060	NA	NA	NA	NA	3.8196642
ENSG00000065135	NA	NA	NA	NA	3.4905648
ENSG00000065150	NA	NA	NA	NA	3.6655717
ENSG00000065154	NA	NA	2.8423	3.004400715	8.024438
ENSG00000065320	-4.276423804	NA	-4.45149	NA	NA
ENSG00000065325	-3.664768573	NA	NA	NA	NA
ENSG00000065328	2.002684372	NA	2.27702	2.451438284	5.155641
ENSG00000065600	NA	NA	NA	NA	3.4979985
ENSG00000065613	NA	NA	2.40611	2.644454469	6.1405125
ENSG00000065615	NA	NA	NA	2.078003359	4.170545
ENSG00000065618	-11.52574753	-11.49314747	-9.075	-7.307459342	NA
ENSG00000065665	NA	NA	NA	NA	3.7345347
ENSG00000065675	-4.291609289	NA	NA	NA	NA
ENSG00000065717	-2.123358117	NA	-2.19636	NA	NA
ENSG00000065809	NA	NA	NA	2.319978035	4.8200207
ENSG00000065882	NA	NA	NA	NA	3.5636232
ENSG00000065923	NA	NA	NA	-2.848632706	NA
ENSG00000065978	NA	NA	NA	NA	3.1337247
ENSG00000066032	-4.528323856	NA	-6.78868	-5.149369977	NA
ENSG00000066044	NA	NA	NA	NA	2.5427063
ENSG00000066056	-5.613302501	NA	NA	-2.94491997	NA
ENSG00000066084	NA	NA	NA	NA	3.7881129
ENSG00000066135	NA	NA	NA	NA	2.7014604
ENSG00000066230	-4.354555216	-4.380967111	-6.41651	-4.950235895	NA
ENSG00000066248	-2.43829478	NA	-6.01923	-5.504074625	NA
ENSG00000066279	2.545484419	NA	2.99361	3.372671168	9.052525
ENSG00000066294	-9.585000413	NA	NA	-8.867174211	NA
ENSG00000066322	NA	NA	NA	NA	2.8545017
ENSG00000066336	-8.114832386	NA	-7.206	-6.635308216	-8.930367
ENSG00000066382	NA	NA	-3.02137	NA	NA
ENSG00000066468	-7.888195598	NA	NA	-4.699929899	NA
ENSG00000066557	NA	NA	NA	2.162625142	4.411475
ENSG00000066583	NA	NA	NA	NA	3.7278087
ENSG00000066697	NA	NA	2.14733	2.390541782	NA
ENSG00000066739	NA	NA	NA	2.274645862	4.7026205
ENSG00000066923	-2.465647816	NA	-3.93393	-3.631190241	NA
ENSG00000066926	NA	NA	NA	NA	3.034391
ENSG00000067048	NA	NA	2.31218	NA	8.221368
ENSG00000067057	NA	NA	NA	2.282967253	NA
ENSG00000067064	NA	NA	2.5482	2.781759398	6.8589826
ENSG00000067113	NA	NA	-2.78068	-2.357624432	NA
ENSG00000067560	NA	NA	NA	NA	2.2832248
ENSG00000067606	-2.580705329	NA	-4.39838	-3.520236577	-11.473522
ENSG00000067646	2.372602848	NA	NA	2.994227835	5.5337324
ENSG00000067715	NA	NA	-3.7575	NA	NA
ENSG00000067798	NA	NA	-2.17883	NA	NA
ENSG00000067842	-6.210116981	NA	NA	NA	NA
ENSG00000067900	NA	NA	NA	NA	3.2794616
ENSG00000067992	NA	NA	NA	2.056822362	4.1007113
ENSG00000068028	NA	NA	NA	NA	3.2374816
ENSG00000068078	-6.190431856	NA	-4.7837	NA	NA
ENSG00000068323	NA	NA	NA	NA	2.4671443
ENSG00000068366	NA	NA	2.21977	2.552259556	NA
ENSG00000068438	NA	NA	NA	NA	2.1988404
ENSG00000068615	-2.408136814	NA	NA	NA	NA
ENSG00000068781	NA	NA	-6.6057	NA	NA
ENSG00000068784	NA	NA	-2.37136	-2.092742797	-4.265583
ENSG00000068793	NA	NA	NA	NA	3.7715385
ENSG00000068796	NA	NA	2.66788	2.92155985	NA
ENSG00000068831	-7.513532214	NA	NA	-7.240127555	NA
ENSG00000068976	-5.908665125	NA	NA	-6.076003593	NA
ENSG00000068985	NA	NA	NA	NA	NA
ENSG00000069011	-10.4013306	NA	NA	-6.846532972	NA
ENSG00000069018	-4.974870432	NA	NA	NA	NA
ENSG00000069020	NA	NA	-4.10777	NA	NA
ENSG00000069122	-6.44142525	NA	NA	-5.623914806	NA
ENSG00000069188	-5.606374968	NA	-3.68915	NA	NA
ENSG00000069329	NA	NA	NA	NA	2.889913
ENSG00000069345	NA	NA	NA	NA	2.794381
ENSG00000069399	-2.056520631	NA	NA	NA	NA
ENSG00000069424	NA	NA	2.33013	3.458474279	NA
ENSG00000069431	-5.346189847	-5.361322866	-4.42655	-4.204117414	-4.8039136
ENSG00000069482	-2.407394851	NA	NA	NA	NA
ENSG00000069535	-6.366438227	-6.367383878	-5.45749	-4.179546605	NA
ENSG00000069696	-3.166858585	NA	NA	NA	NA
ENSG00000069764	-3.215793164	NA	NA	NA	NA
ENSG00000069812	-4.717105189	NA	-3.34157	NA	NA
ENSG00000069956	NA	NA	NA	2.19738894	4.5121827
ENSG00000070019	-3.987374148	NA	NA	NA	NA
ENSG00000070031	-5.217785474	NA	NA	NA	NA
ENSG00000070159	NA	NA	2.30673	2.72681143	NA
ENSG00000070366	NA	NA	-2.81472	-2.565937888	-5.9213986
ENSG00000070367	NA	NA	2.8565	3.168964803	8.952161
ENSG00000070388	-2.38991374	NA	-3.18955	-2.757253079	NA
ENSG00000070404	-2.227346168	NA	NA	NA	NA
ENSG00000070476	NA	NA	NA	NA	2.517587
ENSG00000070526	-6.99463009	NA	NA	NA	NA
ENSG00000070540	NA	NA	NA	2.239256178	NA
ENSG00000070601	-5.934509086	NA	-9.22612	-8.062696304	NA
ENSG00000070614	NA	NA	NA	NA	3.613725
ENSG00000070748	-5.434759323	NA	NA	NA	NA
ENSG00000070778	NA	NA	NA	NA	3.4995794
ENSG00000070808	-2.651443479	NA	NA	-2.795507922	NA
ENSG00000070950	NA	NA	NA	NA	3.790887
ENSG00000071073	-2.472156172	NA	-2.02449	NA	NA
ENSG00000071082	NA	NA	NA	NA	2.978687
ENSG00000071127	NA	NA	NA	NA	3.3378084
ENSG00000071189	NA	NA	NA	NA	3.270762
ENSG00000071242	3.304238952	3.302368734	3.24051	4.182105016	NA
ENSG00000071537	NA	NA	NA	NA	3.7095156
ENSG00000071539	NA	NA	NA	NA	3.3332362
ENSG00000071909	-3.151456598	NA	NA	-5.274752803	NA
ENSG00000071967	NA	NA	NA	NA	3.7764874
ENSG00000071994	NA	NA	NA	NA	2.9673078
ENSG00000072042	NA	NA	NA	2.106181712	NA
ENSG00000072080	-5.275613527	NA	-6.34359	-5.763138295	NA
ENSG00000072121	NA	NA	NA	NA	2.9840996
ENSG00000072182	-4.312472554	NA	NA	NA	NA
ENSG00000072195	NA	NA	NA	NA	NA
ENSG00000072364	NA	NA	2.99516	3.156298994	8.915396
ENSG00000072401	NA	NA	2.06261	2.184914358	4.6180573
ENSG00000072501	NA	NA	2.07088	2.363440771	5.132105
ENSG00000072571	2.462383631	NA	3.21594	3.504182977	10.660741
ENSG00000072657	-3.157484233	NA	NA	NA	NA
ENSG00000072694	-5.654864235	NA	-3.72138	-3.359203909	NA
ENSG00000072736	NA	NA	NA	2.076847835	NA
ENSG00000072818	-4.623911072	NA	-4.32691	-3.931769664	-8.9599695
ENSG00000072858	NA	NA	-2.27744	NA	NA
ENSG00000072952	-7.148827134	NA	NA	-6.813336534	NA
ENSG00000073067	-6.911074519	NA	NA	NA	NA
ENSG00000073111	NA	NA	2.12171	2.36687151	5.158213
ENSG00000073146	-7.007965711	NA	NA	-5.436394884	NA
ENSG00000073282	NA	-12.65199969	NA	NA	NA
ENSG00000073350	-2.487946516	NA	NA	NA	NA
ENSG00000073598	-2.378674626	NA	NA	NA	NA
ENSG00000073605	-3.860252929	NA	-5.24468	-5.084542436	-3.1121404
ENSG00000073670	-2.103021603	NA	NA	NA	NA
ENSG00000073712	NA	NA	NA	NA	3.3993714
ENSG00000073737	-6.567050252	NA	NA	-4.547918722	NA
ENSG00000073754	-5.950682211	NA	NA	NA	NA
ENSG00000073756	4.386300152	4.371179832	5.21981	4.684996997	12.97829
ENSG00000073861	-2.170576502	NA	NA	NA	NA
ENSG00000073905	-8.297142478	NA	NA	NA	NA
ENSG00000074054	NA	NA	NA	NA	3.1316416
ENSG00000074181	-3.582240947	-3.545084907	-2.71725	NA	NA
ENSG00000074211	-7.112956542	NA	NA	NA	NA
ENSG00000074317	-2.112714441	NA	NA	NA	NA
ENSG00000074370	-3.362888694	NA	-2.36488	NA	NA
ENSG00000074416	NA	NA	-4.35942	-3.728689268	-13.257064
ENSG00000074527	-4.833589493	NA	-4.38639	-3.532060989	NA
ENSG00000074590	-3.03581362	NA	NA	NA	NA
ENSG00000074657	NA	NA	-2.34664	NA	NA
ENSG00000074660	-4.412762265	NA	NA	-4.070132383	NA
ENSG00000074696	NA	NA	NA	NA	3.002268
ENSG00000074706	-5.348749394	NA	NA	-5.718777482	NA
ENSG00000074755	NA	NA	NA	NA	2.9315858
ENSG00000074803	-2.463184403	NA	NA	NA	NA
ENSG00000074966	-3.665333815	NA	-6.1166	-5.808832686	NA
ENSG00000075043	-7.671616019	NA	NA	NA	NA
ENSG00000075142	NA	NA	NA	NA	3.4616976
ENSG00000075213	NA	NA	-3.38818	NA	NA
ENSG00000075218	NA	NA	NA	2.094935203	4.2720695
ENSG00000075290	-5.578590819	NA	NA	NA	NA
ENSG00000075340	-4.347545754	NA	-5.4764	-3.877064262	NA
ENSG00000075461	-4.820218508	NA	NA	NA	NA
ENSG00000075673	-4.049381214	NA	NA	NA	NA
ENSG00000075826	NA	NA	-2.49346	NA	NA
ENSG00000075884	NA	NA	-7.31954	-6.006721742	-54.968285
ENSG00000075975	NA	NA	NA	NA	3.0208814
